Simulation,Seed,Crash Severity (%),Recovery Time (Ticks),Recovered
Full Market,35,5.83,101,1
Full Market,37,5.55,90,1
Full Market,36,6.36,114,1
Full Market,40,5.84,75,1
Full Market,38,7.06,133,1
Full Market,39,8.16,129,1
Full Market,41,8.09,108,1
Full Market,42,5.71,101,1
Full Market,43,5.78,127,1
Full Market,46,6.42,70,1
Full Market,44,6.04,168,1
Full Market,45,6.47,85,1
Full Market,47,6.12,88,1
Full Market,48,6.97,84,1
Full Market,49,5.12,79,1
Full Market,52,5.72,72,1
Full Market,50,5.15,90,1
Full Market,51,7.03,103,1
Full Market,53,5.94,91,1
Full Market,54,8.95,124,1
Full Market,55,8.65,138,1
Full Market,56,7.7,117,1
Full Market,57,4.96,86,1
Full Market,59,6.81,103,1
Full Market,58,6.62,83,1
Full Market,60,7.86,89,1
Full Market,61,5.97,92,1
Full Market,62,6.46,80,1
Full Market,64,4.82,100,1
Full Market,63,8.69,155,1
Full Market,67,5.7,62,1
Full Market,65,7.23,107,1
Full Market,66,8.02,100,1
Full Market,69,6.29,106,1
Full Market,70,6.07,83,1
Full Market,68,7.74,129,1
Full Market,71,7.76,113,1
Full Market,72,4.13,79,1
Full Market,74,4.71,88,1
Full Market,73,6.05,79,1
Full Market,75,7.28,174,1
Full Market,76,6.19,89,1
Full Market,78,8.63,123,1
Full Market,77,7.59,128,1
Full Market,79,6.6,99,1
Full Market,80,8.2,99,1
Full Market,81,4.87,67,1
Full Market,82,5.92,84,1
Full Market,83,5.59,88,1
Full Market,84,8.15,95,1
Full Market,86,7.37,89,1
Full Market,85,8.84,99,1
Full Market,87,8.45,123,1
Full Market,88,6.74,78,1
Full Market,89,7.59,109,1
Full Market,90,7.82,99,1
Full Market,92,3.98,49,1
Full Market,95,4.12,44,1
Full Market,91,8.26,117,1
Full Market,93,6.12,79,1
Full Market,94,8.37,119,1
Full Market,96,4.95,90,1
Full Market,97,4.27,51,1
Full Market,98,8.68,119,1
Full Market,101,7.1,146,1
